54) 0x8d4b4aaf1f581c5528d006dc3458e76cf2c4555f
claimable: 296000000000000000000
investment: 10000000000000000000
----
55) 0x7c19a5ac994cf5bf2c1aed71d4def63d96ad88b8
claimable: 28100000000000000000
investment: 1000000000000000000
----
56) 0x982c8f4e601a63346b7bd0bede7c04e139e4f7bd
claimable: 281000000000000000000
investment: 10000000000000000000
----
57) 0x8cb5d5bf581af4f3924adbf69a08db762b946ce2
claimable: 267000000000000000000
investment: 10000000000000000000
----
58) 0xe75727bd26e24347d01c33b134d77d0d9bcc6b87
claimable: 191973000000000000000
investment: 7190000000000000000
----
59) 0xa6e26dbef099a1a4c99dd4c90159776c1dbf490b
claimable: 296000000000000000000
investment: 10000000000000000000
----
60) 0xa4bb241c53eaa799071e6ad7b716dba89a441f69
claimable: 281000000000000000000
investment: 10000000000000000000
----
61) 0x6e498f21f09919914f5cc486f7be690e2bebd9e7
claimable: 281000000000000000000
investment: 10000000000000000000
----
62) 0x93a67e0b06f9dc0fdab8a041c34b74fb29c018f8
claimable: 59010000000000000000
investment: 2100000000000000000
----
63) 0x47a1147115756883038d000e526a4186902119e0
claimable: 136170000000000000000
investment: 5100000000000000000
----
64) 0xfad9ca41589b3657d56e1a6b38601dcbc5dab508
claimable: 8850400000000000000
investment: 2990000000000000000
----
65) 0x9f3d84a5f8f9beb9ef03257b511ebf02894a5955
claimable: 29600000000000000000
investment: 1000000000000000000
----
66) 0x312fc133481fdc7d08a1ecdb1ee3f0208cdebc39
claimable: 56200000000000000000
investment: 2000000000000000000
----
67) 0x29cbccd01d8d2d3a4f4c437c4ae5039362df95e2
claimable: 267000000000000000000
investment: 10000000000000000000
----
68) 0x423bdfeb5d25b0c8d5c6ff598e99eb883a340381
claimable: 52320000000000000000
investment: 2180000000000000000
----
69) 0x3e2ea46bdfe5ec7f1a12b3f24d47439e1b5e9ebf
claimable: 296000000000000000000
investment: 10000000000000000000
----
70) 0x96bad93f26c64e72f7b22e3dee731ca51e84c78b
claimable: 11099500000000000000
investment: 395000000000000000
----
71) 0x5db0ce4be877074f838ec85eb196784ee529df15
claimable: 256834000000000000000
investment: 9140000000000000000
----
72) 0xe67d86886f97daf5f059e876a4c3c04a514b3e69
claimable: 4496000000000000000
investment: 160000000000000000
----
73) 0xf4245a2ca2faa8f21dbda9aaf8213b45a8ff008c
claimable: 281000000000000000000
investment: 10000000000000000000
----
74) 0xb3cd225e39779c41dc994eb881b696f0cbc68e08
claimable: 240000000000000000000
investment: 10000000000000000000
----
75) 0x79edb79baecbc493157512fdc8771821548c637e
claimable: 296000000000000000
investment: 100000000000000000
----
76) 0xfcbdb50e1d99310380bfab314a66a0f4e2b23875
claimable: 14800000000000000000
investment: 500000000000000000
----
77) 0x705039748ceb8f563110c18df60793265982ace2
claimable: 296000000000000000000
investment: 10000000000000000000
----
78) 0x2e797db6a3c9857dd7e32db7abb18d1bc919fe53
claimable: 23384000000000000000
investment: 790000000000000000
----
79) 0x4877f396950c4c93dcf29ab78f5a246548aaf40e
claimable: 267000000000000000000
investment: 10000000000000000000
----
80) 0x43234e1a1c49023725af693b6bc5a76c11c46765
claimable: 26700000000000000000
investment: 1000000000000000000
----
81) 0x880a9d891b285650defe2969ed22608d26ddfff3
claimable: 40050000000000000000
investment: 1500000000000000000
----
82) 0x3603b37948c74b6e15c7988aae9624741e7b2398
claimable: 240300000000000000000
investment: 9000000000000000000
----
83) 0xed45a63726ebdb50573c8dee4e961fdbf20e0e4a
claimable: 281000000000000000000
investment: 10000000000000000000
----
84) 0xc2dc0add26ee49fabf8e2908b9d5e0991317f922
claimable: 26700000000000000000
investment: 1000000000000000000
----
85) 0x6890eef74ea683a9383b6a32099b3967eae7907e
claimable: 266199000000000000000
investment: 9970000000000000000
----
86) 0x16ce7d09d38b8e5dca13980cf9d4bce2d2244c77
claimable: 88800000000000000000
investment: 3000000000000000000
----
87) 0x290dbb38d36e12dffa7ea95d1dd983caf842db61
claimable: 9176000000000000000
investment: 310000000000000000
----
88) 0x1e8c82755f62081cc7c760730677c5776da27c32
claimable: 281000000000000000000
investment: 10000000000000000000
----
89) 0x46b19c2e75e5d19772efc108d9d5f353047b2148
claimable: 281000000000000000000
investment: 10000000000000000000
----
90) 0xb6165e06be0cf63bd008c98000f933e365b09f08
claimable: 51142000000000000000
investment: 1820000000000000000
----
91) 0xa23344184e2c6e1aa744e9b7cd4b513cea5afb3c
claimable: 29600000000000000000
investment: 10000000000000000000
----
92) 0x8f04f351074a9c8ffb192f900878cfdb83ddd95f
claimable: 29600000000000000000
investment: 10000000000000000000
----
93) 0x36917bc886e619521d76f8994db962fc1e748e99
claimable: 296000000000000000000
investment: 10000000000000000000
----
94) 0xb2f44b1a4f1ca5c7333151d8a730af6ac71ecd63
claimable: 25365000000000000000
investment: 950000000000000000
----
95) 0xb7d0fa0669730e46f9fae6d3a89bc26832b55dfe
claimable: 89040000000000000000
investment: 3710000000000000000
----
96) 0xec14389807f0b6499a032db73fd8a94c1204a216
claimable: 240000000000000000000
investment: 10000000000000000000
----
97) 0x53daccec0fda34c30f89cd64ad29a9bbe84d275e
claimable: 95540000000000000000
investment: 3400000000000000000
----
98) 0x365d913c0a29d709fe3e649a1376951661b96fd1
claimable: 267000000000000000000
investment: 10000000000000000000
----
99) 0x69e1181e26fab42ab0f73797aa8e8b8dc77628cf
claimable: 240000000000000000000
investment: 10000000000000000000
----
100) 0x5159f99d35cb74796de5664da456b79a21ac5449
claimable: 267000000000000000000
investment: 10000000000000000000
----
101) 0x8e367218246f9df464dd925169c470d8f0622222
claimable: 158865000000000000000
investment: 5950000000000000000
----
102) 0x1eee9a2db92c46eaff06b3c31e34db7bd1ecddaf
claimable: 88920000000000000000
investment: 3705000000000000000
----
103) 0xc64c8e600a35d3786cf0b13a46744e010617b080
claimable: 2696000000000000000
investment: 200000000000000000
----
104) 0x072a9b89f4462d3c2f9183e82027b42299b74fd9
claimable: 59200000000000000000
investment: 2000000000000000000
----
105) 0x7412c8b906815c25c9031b8b3b9f4805015ac7f2
claimable: 28662000000000000000
investment: 1020000000000000000
----
106) 0x7946c0c8807b8458f32dcf6aad0ad6807907e6c5
claimable: 292744000000000000000
investment: 9890000000000000000
----
107) 0x79acd18799f1da1800b7cf72ec589b3d06520bcc
claimable: 9835000000000000000
investment: 350000000000000000
----
108) 0x6eeb9dffb820d13fc7ad5df4a0b97d4cebfa2a59
claimable: 29600000000000000000
investment: 10000000000000000000
----
109) 0x994b046deb3d24b5b242d4ee07d00e1fed3f3261
claimable: 29600000000000000000
investment: 10000000000000000000
----
110) 0xe1ae0234067dd98a5da5eedc5eb27c8ec22d81ac
claimable: 274096000000000000000
investment: 9260000000000000000
----
111) 0x22f12615b4045a222393455b5aa9c1934071ed52
claimable: 250179000000000000000
investment: 9370000000000000000
----
112) 0x0e6ce52c1d0257808be60c3f799172bd1ad30028
claimable: 267000000000000000000
investment: 10000000000000000000
----
113) 0x41224e44922d2d98aa6360c705772c59aacec96b
claimable: 47040000000000000000
investment: 1960000000000000000
----
114) 0x8b832f9201651e5f193f004997ccb507a19e2700
claimable: 296000000000000000000
investment: 10000000000000000000
----
115) 0x717d218fbc3d0fe0997597d772848d328a4bb2a0
claimable: 296000000000000000000
investment: 10000000000000000000
----
116) 0x415625003693f35ab608bc040600c9a5bad994b8
claimable: 26700000000000000000
investment: 1000000000000000000
----
117) 0x621cb7f95cd54b6884ca331cfb5e610fa5cb092d
claimable: 245373000000000000000
investment: 9190000000000000000
----
118) 0x503c2c166b9a2785fa944d6d46b0247b1d1a5e8d
claimable: 296000000000000000000
investment: 10000000000000000000
----
119) 0x8c4e1d2cedaa4c017269592fc70aaf20a9b48ada
claimable: 190920000000000000000
investment: 6450000000000000000
----
120) 0x89728067216ca54361060316d766bf681853e7fa
claimable: 28100000000000000000
investment: 1000000000000000000
----
121) 0x0850a184714490b7ef2204c83e69532080f4845f
claimable: 2960000000000000000
investment: 100000000000000000
----
122) 0xf92e87d99190a1bab182c2f1014738f58f58a3e5
claimable: 31472000000000000000
investment: 1120000000000000000
----
123) 0xed699e481adb3111f23742f0646a5c7695eebd10
claimable: 267000000000000000000
investment: 10000000000000000000
----
124) 0x93967805faa6eabe9de62d578b1f076863908133
claimable: 267000000000000000000
investment: 10000000000000000000
----
125) 0x79d4d61060c4071cc8530b47ef7b93209a6d0c33
claimable: 248310000000000000000
investment: 9300000000000000000
----
126) 0x21462509020a90abc8864c02dcb43348bcce63ec
claimable: 296000000000000000
investment: 100000000000000000
----
127) 0x10b3ba93a45a76276e61baee7176c6c17721c678
claimable: 176100000000000000000
investment: 6000000000000000000
----
128) 0xabe2d1bbc5833da77af5e79ee08dba4b9acd2114
claimable: 59200000000000000000
investment: 2000000000000000000
----
129) 0x17809259208a66d81e94b45c7014f791aacbbb0d
claimable: 251647500000000000000
investment: 9425000000000000000
----
130) 0xed116130ec54b9be4d58ac17a3849e3df497125a
claimable: 281000000000000000000
investment: 10000000000000000000
----
131) 0x44ee1512f5d7455523cda8338b04ae6a60a99de4
claimable: 58080000000000000000
investment: 2420000000000000000
----
132) 0x9baadccbb7e843d3e4272cd74ee399c0c00f9954
claimable: 29600000000000000000
investment: 10000000000000000000
----
133) 0x6a7405cb055669af15d14392ed3ce4d330fd2cb5
claimable: 20720000000000000000
investment: 7000000000000000000
----
134) 0x5c386ad5f389242c066f19bc3b423a6097e9efb7
claimable: 140500000000000000000
investment: 5000000000000000000
----
135) 0x111484d3345848f43c226995174cda275e9d1d5c
claimable: 222610400000000000000
investment: 8219000000000000000
----
136) 0x68c950840858347b7f744f7c5926657e37fb4392
claimable: 267000000000000000000
investment: 10000000000000000000
----
137) 0xb2e9113d7ac34f7d39662b0e8ddc769bdec9cbf7
claimable: 47793000000000000000
investment: 1790000000000000000
----
138) 0xe5756aa82a39d3e23dbc4831a8c6a6840b1663c2
claimable: 14800000000000000000
investment: 500000000000000000
----
139) 0x18d503451659d14264e9c95f72d9b68bd24a69d5
claimable: 68080000000000000000
investment: 2300000000000000000
----
140) 0x149ae6888b39648eeead85c45611633da566e945
claimable: 281000000000000000000
investment: 10000000000000000000
----
141) 0xc97c55442099a325ed7b399925846b51d60ead3b
claimable: 59572000000000000000
investment: 2120000000000000000
----
142) 0xc691c060ebeeab5655cc997246a962e7162e1e8e
claimable: 56200000000000000000
investment: 2000000000000000000
----
143) 0xbd793d8e9a131b9d31d8b3695676c0a408c0fdc4
claimable: 133500000000000000000
investment: 5000000000000000000
----
144) 0xec931d7bef828d5beadac291490a71fae80a401b
claimable: 55919000000000000000
investment: 1990000000000000000
----
145) 0xfa01965486e0b6bfe4f314b3c1d7914abc0d2f80
claimable: 142672000000000000000
investment: 4820000000000000000
----
146) 0xc9e24327b2bd18dd62d870a993a273c16c895cf6
claimable: 118400000000000000000
investment: 4000000000000000000
----
147) 0xfe4ae074b84e9b13124da976be15d4f0b38685af
claimable: 281000000000000000000
investment: 10000000000000000000
----
148) 0x2e0f459670aa7119ed44da8b8358eb81b372ba3c
claimable: 27759990000000000000
investment: 987900000000000000
----
149) 0xaaf4394afbe1b7c6c8379da08a999da788a9728c
claimable: 26700000000000000000
investment: 1000000000000000000
----
150) 0x024e0b8e22743d89e0465d30c337f951918705fa
claimable: 29600000000000000000
investment: 10000000000000000000
----
151) 0xa547fdd9210fac0786d05af03fb289d1947531d4
claimable: 29600000000000000000
investment: 10000000000000000000
----
152) 0xc979748097d71aa9cf71ad229608c5de0a0965a4
claimable: 55919000000000000000
investment: 1990000000000000000
----
153) 0xc555acf73a1164f7f2eee5e7f59fee502f17afec
claimable: 240000000000000000000
investment: 10000000000000000000
----
154) 0x789ab82821d9efb4511e3a7f75820037b560b768
claimable: 52652400000000000000
investment: 1972000000000000000
----
155) 0x844950422e1f7306e536fa68a6eff106151cff24
claimable: 5340000000000000000
investment: 200000000000000000
----
156) 0x546b76e990ad05f904c7e1ef648cab8234c7311c
claimable: 48000000000000000000
investment: 2000000000000000000
----
157) 0x2069fe5c5beaf44db81aed0a281512e40d3f809b
claimable: 29600000000000000000
investment: 1000000000000000000
----
158) 0x0441fd8f6b6a9fee71015f5e90a564bf79d39052
claimable: 6141000000000000000
investment: 230000000000000000
----
159) 0x8c5a840b5a9c2d78f665c93c63c3061f187c3346
claimable: 140500000000000000000
investment: 5000000000000000000
----
160) 0xc1ed11d231e512982cd87f8b5861a0fed7a19153
claimable: 267000000000000000000
investment: 10000000000000000000
----
162) 0x0759d0642cec4265b350c253889d1bf97539e10f
claimable: 29600000000000000000
investment: 10000000000000000000
----
163) 0x5dce7412dac1860b1c9eaceae3a09ed2f4ec7600
claimable: 112400000000000000000
investment: 4000000000000000000
----
164) 0x9c68e1e2b140683c97ca1fb750d1c42ac579797a
claimable: 236800000000000000000
investment: 8000000000000000000
----
165) 0x80847544a13209b76a70de0022be3dcaa193f88c
claimable: 281000000000000000000
investment: 10000000000000000000
----
166) 0x43ddc99e9baf04b12979b1ecc9272a0585b27c90
claimable: 168210000000000000000
investment: 6300000000000000000
----
167) 0xebacba195accc94e6ac9b34207f3916c41119329
claimable: 267000000000000000000
investment: 10000000000000000000
----
168) 0xc671e68226ae0aa544b6df8f2f16cf6232e187ea
claimable: 140175000000000000000
investment: 5250000000000000000
----
169) 0x2ea252ba869eed2a248240a00207583f934404ad
claimable: 152440000000000000000
investment: 5150000000000000000
----
170) 0x65ebd58d35231c99c401da6b49deeb5e9be93748
claimable: 2960000000000000000
investment: 100000000000000000
----
171) 0x8dd3382eb29c4eccf48482d7d7ed93301638b702
claimable: 9176000000000000000
investment: 310000000000000000
----
172) 0xd34a20e69403aa10913dd91455aee574f7611527
claimable: 110070000000000000000
investment: 4215000000000000000
----
173) 0x6390b88a6369d08e28ece4d741131d6ffbac224c
claimable: 5620000000000000000
investment: 200000000000000000
----
174) 0xdc89fc2f0d8b73d769c909eb04de30e235e7ad53
claimable: 3296296266300000000
investment: 123456789000000000
----
175) 0xb863769e618825a4650bfb5ae8bf022bb92ad7e6
claimable: 87011400000000000000
investment: 3137000000000000000
----
176) 0x14e989718c622e6a90531c515bf2c9ac5fb8d713
claimable: 188650000000000000000
investment: 6500000000000000000
----
177) 0xea24c5b3b0f9c0b5bb93d6a72747c385a87aca7b
claimable: 79032000000000000000
investment: 2670000000000000000
----
178) 0x78da7fca531d4b6710d616cdd63d77bc80e7fd32
claimable: 29600000000000000000
investment: 10000000000000000000
----
179) 0xbb47df9c00cfc201e709764f31306d02220aa1b4
claimable: 5620000000000000000
investment: 200000000000000000
----
180) 0x2aa4782c4cd8f26116b753016d3d789c45c077dc
claimable: 281000000000000000000
investment: 10000000000000000000
----
181) 0xc4ce1c95f0ed3ae7f1428712c1e768cef2462ec2
claimable: 296000000000000000000
investment: 10000000000000000000
----
182) 0x941bbd3d449cd092781f6f12819dabd537c36947
claimable: 59010000000000000000
investment: 2100000000000000000
----
183) 0x58ed012303334209f945219fc00f707c0e2c5d80
claimable: 28100000000000000000
investment: 1000000000000000000
----
